Categorization Test,Model Name,Null Test,Polarity Test,Year
0.6941489361702128,knn_v2_nodups,0.8058510638297872,0.9029255319148936,1800
0.5735849056603773,knn_v1_share,0.8169811320754717,0.8867924528301887,1800
0.6699029126213593,knn_v2_share,0.808252427184466,0.9065533980582524,1800
0.6206896551724138,knn_v1_nodups,0.8275862068965517,0.8922413793103449,1800
0.6929611650485437,knn_v2_share,0.8161407766990292,0.9016990291262136,1810
0.5962264150943396,knn_v1_share,0.8132075471698114,0.8981132075471698,1810
0.6379310344827587,knn_v1_nodups,0.8189655172413793,0.9051724137931034,1810
0.711436170212766,knn_v2_nodups,0.8091755319148937,0.8962765957446809,1810
0.6379310344827587,knn_v1_nodups,0.8383620689655172,0.8965517241379308,1820
0.7340425531914894,knn_v2_nodups,0.819813829787234,0.898936170212766,1820
0.712378640776699,knn_v2_share,0.8258495145631068,0.9041262135922329,1820
0.5811320754716981,knn_v1_share,0.8396226415094341,0.8943396226415095,1820
0.7406914893617021,knn_v2_nodups,0.8238031914893617,0.9029255319148936,1830
0.6336206896551724,knn_v1_nodups,0.8448275862068966,0.9094827586206896,1830
0.7099514563106796,knn_v2_share,0.8282766990291263,0.9016990291262136,1830
0.6037735849056604,knn_v1_share,0.8358490566037736,0.9056603773584906,1830
0.6037735849056604,knn_v1_share,0.8566037735849057,0.9132075471698112,1840
0.7433510638297872,knn_v2_nodups,0.8218085106382979,0.9095744680851064,1840
0.6637931034482759,knn_v1_nodups,0.8426724137931034,0.918103448275862,1840
0.712378640776699,knn_v2_share,0.8185679611650486,0.912621359223301,1840
0.712378640776699,knn_v2_share,0.8313106796116505,0.9101941747572816,1850
0.6767241379310345,knn_v1_nodups,0.8426724137931034,0.9051724137931034,1850
0.6113207547169811,knn_v1_share,0.8396226415094341,0.9056603773584906,1850
0.7287234042553191,knn_v2_nodups,0.8224734042553191,0.9002659574468085,1850
0.6681034482758621,knn_v1_nodups,0.8426724137931034,0.918103448275862,1860
0.7135922330097088,knn_v2_share,0.8300970873786407,0.9150485436893204,1860
0.6301886792452829,knn_v1_share,0.8301886792452831,0.920754716981132,1860
0.7406914893617021,knn_v2_nodups,0.8311170212765957,0.9175531914893617,1860
0.7026699029126213,knn_v2_share,0.8270631067961165,0.91626213592233,1870
0.7287234042553191,knn_v2_nodups,0.819813829787234,0.9122340425531916,1870
0.6637931034482759,knn_v1_nodups,0.8362068965517241,0.9051724137931034,1870
0.6,knn_v1_share,0.8339622641509434,0.9169811320754716,1870
0.7026699029126213,knn_v2_share,0.8276699029126213,0.9174757281553398,1880
0.6150943396226415,knn_v1_share,0.8245283018867925,0.9056603773584906,1880
0.7313829787234043,knn_v2_nodups,0.8257978723404256,0.9148936170212766,1880
0.6681034482758621,knn_v1_nodups,0.8275862068965517,0.9008620689655172,1880
0.7473404255319149,knn_v2_nodups,0.8311170212765957,0.9109042553191491,1890
