test,average_accuracy,year
categorization,0.6075471698113207,1920
categorization,0.5735849056603773,1800
categorization,0.6264150943396226,1930
categorization,0.5962264150943396,1810
categorization,0.630188679245283,1940
categorization,0.5811320754716981,1820
categorization,0.630188679245283,1950
categorization,0.6037735849056604,1830
categorization,0.6226415094339622,1960
categorization,0.6037735849056604,1840
categorization,0.6,1970
categorization,0.6113207547169811,1850
categorization,0.5849056603773585,1980
categorization,0.630188679245283,1860
categorization,0.6075471698113207,1990
categorization,0.6,1870
categorization,0.6150943396226415,1880
categorization,0.6226415094339622,1890
categorization,0.6528301886792452,1900
categorization,0.5924528301886792,1910
polarity,0.9169811320754717,1920
polarity,0.8867924528301887,1800
polarity,0.909433962264151,1930
polarity,0.8981132075471698,1810
polarity,0.9320754716981132,1940
polarity,0.8943396226415095,1820
polarity,0.9207547169811321,1950
polarity,0.9056603773584906,1830
polarity,0.9169811320754717,1960
polarity,0.9132075471698113,1840
polarity,0.9018867924528302,1970
polarity,0.9056603773584906,1850
polarity,0.9132075471698113,1980
polarity,0.9207547169811321,1860
polarity,0.9056603773584906,1990
polarity,0.9169811320754717,1870
polarity,0.9056603773584906,1880
polarity,0.9320754716981132,1890
polarity,0.9245283018867925,1900
polarity,0.9207547169811321,1910
null_test,0.8320754716981132,1920
null_test,0.8169811320754717,1800
null_test,0.8320754716981132,1930
null_test,0.8132075471698114,1810
null_test,0.8283018867924529,1940
null_test,0.839622641509434,1820
null_test,0.8339622641509434,1950
null_test,0.8358490566037736,1830
null_test,0.8150943396226416,1960
null_test,0.8566037735849057,1840
null_test,0.8188679245283019,1970
null_test,0.839622641509434,1850
null_test,0.8018867924528302,1980
null_test,0.8301886792452831,1860
null_test,0.809433962264151,1990
null_test,0.8339622641509434,1870
null_test,0.8245283018867925,1880
null_test,0.8188679245283019,1890
null_test,0.8113207547169812,1900
null_test,0.839622641509434,1910
