Categorization Test,Model Name,Null Test,Polarity Test,Year
0.5849514563106796,centroid_v2_share_match,0.7718446601941747,0.8895631067961165,1800
0.6699029126213593,knn_v2_share_match,0.7942961165048543,0.9065533980582524,1800
0.6929611650485437,knn_v2_share_match,0.7961165048543689,0.9016990291262136,1810
0.6553398058252428,centroid_v2_share_match,0.7815533980582524,0.8907766990291263,1810
0.712378640776699,knn_v2_share_match,0.8027912621359223,0.9041262135922329,1820
0.6480582524271845,centroid_v2_share_match,0.7827669902912622,0.8907766990291263,1820
0.7099514563106796,knn_v2_share_match,0.8106796116504854,0.9016990291262136,1830
0.6553398058252428,centroid_v2_share_match,0.7815533980582524,0.9004854368932039,1830
0.712378640776699,knn_v2_share_match,0.7967233009708737,0.912621359223301,1840
0.6638349514563107,centroid_v2_share_match,0.7967233009708737,0.8968446601941747,1840
0.6601941747572816,centroid_v2_share_match,0.7882281553398058,0.8980582524271845,1850
0.712378640776699,knn_v2_share_match,0.8118932038834952,0.9101941747572816,1850
0.7135922330097088,knn_v2_share_match,0.8143203883495146,0.9150485436893204,1860
0.6577669902912622,centroid_v2_share_match,0.7936893203883495,0.8992718446601942,1860
0.7026699029126213,knn_v2_share_match,0.808252427184466,0.91626213592233,1870
0.6614077669902912,centroid_v2_share_match,0.7967233009708737,0.9029126213592232,1870
0.7026699029126213,knn_v2_share_match,0.8106796116504854,0.9174757281553398,1880
0.6844660194174758,centroid_v2_share_match,0.7924757281553398,0.9053398058252428,1880
0.6771844660194175,centroid_v2_share_match,0.8003640776699029,0.912621359223301,1890
0.7111650485436893,knn_v2_share_match,0.8185679611650486,0.9089805825242718,1890
0.6808252427184466,centroid_v2_share_match,0.7888349514563107,0.9041262135922329,1900
0.712378640776699,knn_v2_share_match,0.8125,0.9174757281553398,1900
0.6589805825242718,centroid_v2_share_match,0.7894417475728155,0.9138349514563108,1910
0.6941747572815534,knn_v2_share_match,0.8125,0.91626213592233,1910
0.6881067961165048,knn_v2_share_match,0.808252427184466,0.9077669902912622,1920
0.662621359223301,centroid_v2_share_match,0.7845873786407767,0.9016990291262136,1920
0.6589805825242718,centroid_v2_share_match,0.7870145631067961,0.9089805825242718,1930
0.6929611650485437,knn_v2_share_match,0.8015776699029126,0.9114077669902912,1930
0.6735436893203883,knn_v2_share_match,0.808252427184466,0.8992718446601942,1940
0.662621359223301,centroid_v2_share_match,0.787621359223301,0.9077669902912622,1940
0.6917475728155339,knn_v2_share_match,0.8100728155339806,0.9101941747572816,1950
0.6516990291262136,centroid_v2_share_match,0.7882281553398058,0.9089805825242718,1950
0.6832524271844661,knn_v2_share_match,0.8161407766990292,0.9114077669902912,1960
0.6589805825242718,centroid_v2_share_match,0.7864077669902912,0.9089805825242718,1960
0.6480582524271845,knn_v2_share_match,0.8033980582524272,0.9029126213592232,1970
0.6286407766990292,centroid_v2_share_match,0.7851941747572816,0.8992718446601942,1970
0.6225728155339806,centroid_v2_share_match,0.7742718446601942,0.8944174757281553,1980
0.662621359223301,knn_v2_share_match,0.8046116504854369,0.8859223300970874,1980
0.6225728155339806,centroid_v2_share_match,0.7785194174757282,0.883495145631068,1990
0.6468446601941747,knn_v2_share_match,0.8137135922330098,0.8895631067961165,1990
