Categorization Test,Model Name,Null Test,Polarity Test,Year
0.6810344827586207,v1_match_nodups,0.7931034482758621,0.8879310344827587,1800
0.6196808510638298,v2_match_nodups,0.7819148936170213,0.8776595744680851,1800
0.6821808510638298,v2_match_nodups,0.7925531914893617,0.8829787234042553,1810
0.7198275862068966,v1_match_nodups,0.8211206896551724,0.8706896551724138,1810
0.6835106382978723,v2_match_nodups,0.7892287234042553,0.8829787234042553,1820
0.6896551724137931,v1_match_nodups,0.8146551724137931,0.875,1820
0.6941489361702128,v2_match_nodups,0.7918882978723404,0.8829787234042553,1830
0.6982758620689655,v1_match_nodups,0.8168103448275862,0.8922413793103449,1830
0.6914893617021277,v2_match_nodups,0.7992021276595744,0.8869680851063829,1840
0.7068965517241379,v1_match_nodups,0.8125,0.875,1840
0.6853448275862069,v1_match_nodups,0.8146551724137931,0.8879310344827587,1850
0.6954787234042553,v2_match_nodups,0.7925531914893617,0.8936170212765957,1850
0.6941489361702128,v2_match_nodups,0.8025265957446809,0.8976063829787234,1860
0.7155172413793104,v1_match_nodups,0.8125,0.9008620689655172,1860
0.7007978723404256,v2_match_nodups,0.8011968085106383,0.9015957446808509,1870
0.7112068965517241,v1_match_nodups,0.8189655172413793,0.9094827586206896,1870
0.7167553191489362,v2_match_nodups,0.7978723404255319,0.898936170212766,1880
0.7112068965517241,v1_match_nodups,0.8275862068965517,0.9094827586206896,1880
0.75,v1_match_nodups,0.8211206896551724,0.9267241379310344,1890
0.7007978723404256,v2_match_nodups,0.8045212765957447,0.9095744680851064,1890
0.7370689655172413,v1_match_nodups,0.8189655172413793,0.913793103448276,1900
0.7140957446808509,v2_match_nodups,0.7972074468085106,0.9029255319148936,1900
0.7413793103448276,v1_match_nodups,0.8038793103448276,0.9094827586206896,1910
0.6914893617021277,v2_match_nodups,0.7985372340425532,0.9069148936170212,1910
0.6888297872340425,v2_match_nodups,0.7925531914893617,0.8976063829787234,1920
0.7198275862068966,v1_match_nodups,0.8211206896551724,0.9008620689655172,1920
0.7198275862068966,v1_match_nodups,0.8168103448275862,0.8965517241379308,1930
0.6994680851063829,v2_match_nodups,0.7958776595744681,0.9082446808510638,1930
0.6968085106382979,v2_match_nodups,0.8005319148936171,0.9042553191489362,1940
0.6896551724137931,v1_match_nodups,0.8297413793103449,0.8965517241379308,1940
0.6875,v2_match_nodups,0.7958776595744681,0.8976063829787234,1950
0.7155172413793104,v1_match_nodups,0.8168103448275862,0.8922413793103449,1950
0.6968085106382979,v2_match_nodups,0.7952127659574468,0.9069148936170212,1960
0.7112068965517241,v1_match_nodups,0.8081896551724138,0.8793103448275862,1960
0.6702127659574468,v2_match_nodups,0.7878989361702128,0.9029255319148936,1970
0.6982758620689655,v1_match_nodups,0.8125,0.8793103448275862,1970
0.7112068965517241,v1_match_nodups,0.8125,0.8879310344827587,1980
0.6715425531914894,v2_match_nodups,0.7805851063829787,0.8949468085106383,1980
0.6939655172413793,v1_match_nodups,0.8103448275862069,0.875,1990
0.6715425531914894,v2_match_nodups,0.7859042553191491,0.8789893617021277,1990
