year,categorization,null,polarity
1800.0,0.680952380952381,0.8093525179856115,0.8904761904761904
1810.0,0.6844444444444444,0.8148148148148148,0.8711111111111111
1820.0,0.7016129032258065,0.8258258258258259,0.8790322580645161
1830.0,0.6417322834645669,0.8533724340175953,0.8858267716535433
1840.0,0.6781609195402298,0.8380681818181818,0.89272030651341
1850.0,0.6580882352941176,0.8235294117647058,0.8860294117647058
1860.0,0.6777777777777778,0.8324324324324325,0.8814814814814815
1870.0,0.6642066420664207,0.8552278820375335,0.8856088560885609
1880.0,0.6585365853658537,0.8425,0.8850174216027874
1890.0,0.697594501718213,0.8492822966507177,0.8900343642611683
1900.0,0.6858108108108109,0.8356807511737089,0.8851351351351351
1910.0,0.6631944444444444,0.8240963855421687,0.8923611111111112
1920.0,0.6968641114982579,0.837772397094431,0.8780487804878049
1930.0,0.6376306620209059,0.8312958435207825,0.8571428571428571
1940.0,0.6418439716312057,0.8349753694581281,0.851063829787234
1950.0,0.6554054054054054,0.8290398126463701,0.8614864864864865
1960.0,0.6277602523659306,0.8193832599118943,0.8643533123028391
1970.0,0.6269592476489029,0.8156182212581344,0.8589341692789969
1980.0,0.6199376947040498,0.7787234042553192,0.838006230529595
1990.0,0.5963302752293578,0.7761506276150628,0.8103975535168195
