test,average_accuracy,year
polarity,0.9224137931034483,1920
polarity,0.8922413793103449,1800
polarity,0.9051724137931034,1930
polarity,0.9051724137931034,1810
polarity,0.9224137931034483,1940
polarity,0.896551724137931,1820
polarity,0.9094827586206896,1950
polarity,0.9094827586206896,1830
polarity,0.9094827586206896,1960
polarity,0.9181034482758621,1840
polarity,0.8922413793103449,1970
polarity,0.9051724137931034,1850
polarity,0.9094827586206896,1980
polarity,0.9181034482758621,1860
polarity,0.9051724137931034,1990
polarity,0.9051724137931034,1870
polarity,0.9008620689655172,1880
polarity,0.9267241379310345,1890
polarity,0.9353448275862069,1900
polarity,0.9310344827586207,1910
null_test,0.8405172413793104,1920
null_test,0.8275862068965517,1800
null_test,0.8275862068965517,1930
null_test,0.8189655172413793,1810
null_test,0.8448275862068966,1940
null_test,0.8383620689655172,1820
null_test,0.8362068965517241,1950
null_test,0.8448275862068966,1830
null_test,0.8211206896551724,1960
null_test,0.8426724137931034,1840
null_test,0.8275862068965517,1970
null_test,0.8426724137931034,1850
null_test,0.8168103448275862,1980
null_test,0.8426724137931034,1860
null_test,0.8038793103448276,1990
null_test,0.8362068965517241,1870
null_test,0.8275862068965517,1880
null_test,0.8405172413793104,1890
null_test,0.8168103448275862,1900
null_test,0.8275862068965517,1910
categorization,0.6637931034482759,1920
categorization,0.6206896551724138,1800
categorization,0.6681034482758621,1930
categorization,0.6379310344827587,1810
categorization,0.6724137931034483,1940
categorization,0.6379310344827587,1820
categorization,0.6982758620689655,1950
categorization,0.6336206896551724,1830
categorization,0.6896551724137931,1960
categorization,0.6637931034482759,1840
categorization,0.6422413793103449,1970
categorization,0.6767241379310345,1850
categorization,0.6422413793103449,1980
categorization,0.6681034482758621,1860
categorization,0.6724137931034483,1990
categorization,0.6637931034482759,1870
categorization,0.6681034482758621,1880
categorization,0.6767241379310345,1890
categorization,0.6896551724137931,1900
categorization,0.6637931034482759,1910
