year,categorization,null,polarity
1800.0,0.6428571428571429,0.841726618705036,0.8666666666666667
1810.0,0.6977777777777778,0.8557046979865772,0.8666666666666667
1820.0,0.6774193548387096,0.8682634730538922,0.8790322580645161
1830.0,0.6417322834645669,0.8567251461988304,0.8858267716535433
1840.0,0.7049808429118773,0.8668555240793201,0.8812260536398467
1850.0,0.6691176470588235,0.8826666666666667,0.8933823529411765
1860.0,0.6814814814814815,0.8490566037735849,0.8925925925925926
1870.0,0.6789667896678967,0.8770053475935828,0.8892988929889298
1880.0,0.6724738675958188,0.8603491271820449,0.8989547038327527
1890.0,0.6735395189003437,0.8758949880668258,0.9003436426116839
1900.0,0.6722972972972973,0.8618266978922716,0.8918918918918919
1910.0,0.6493055555555556,0.8365384615384616,0.8923611111111112
1920.0,0.6898954703832753,0.8526570048309179,0.9024390243902439
1930.0,0.6724738675958188,0.8707317073170732,0.8815331010452961
1940.0,0.6773049645390071,0.8796068796068796,0.8794326241134752
1950.0,0.6182432432432432,0.8551401869158879,0.8614864864864865
1960.0,0.6340694006309149,0.8527472527472527,0.8548895899053628
1970.0,0.6269592476489029,0.854978354978355,0.8589341692789969
1980.0,0.6292834890965732,0.8046709129511678,0.8504672897196262
1990.0,0.5840978593272171,0.8121085594989561,0.8256880733944955
