test,average_accuracy,year
null_test,0.8164893617021277,1920
null_test,0.8058510638297872,1800
null_test,0.8151595744680851,1930
null_test,0.8091755319148937,1810
null_test,0.8178191489361702,1940
null_test,0.819813829787234,1820
null_test,0.8164893617021277,1950
null_test,0.8238031914893617,1830
null_test,0.8204787234042553,1960
null_test,0.8218085106382979,1840
null_test,0.8164893617021277,1970
null_test,0.8224734042553191,1850
null_test,0.8105053191489362,1980
null_test,0.8311170212765957,1860
null_test,0.819813829787234,1990
null_test,0.819813829787234,1870
null_test,0.8257978723404256,1880
null_test,0.8311170212765957,1890
null_test,0.8264627659574468,1900
null_test,0.817154255319149,1910
categorization,0.7220744680851063,1920
categorization,0.6941489361702128,1800
categorization,0.711436170212766,1930
categorization,0.711436170212766,1810
categorization,0.7074468085106383,1940
categorization,0.7340425531914894,1820
categorization,0.7180851063829787,1950
categorization,0.7406914893617021,1830
categorization,0.7207446808510638,1960
categorization,0.7433510638297872,1840
categorization,0.6848404255319149,1970
categorization,0.7287234042553191,1850
categorization,0.6795212765957447,1980
categorization,0.7406914893617021,1860
categorization,0.6795212765957447,1990
categorization,0.7287234042553191,1870
categorization,0.7313829787234043,1880
categorization,0.7473404255319149,1890
categorization,0.7313829787234043,1900
categorization,0.7207446808510638,1910
polarity,0.898936170212766,1920
polarity,0.9029255319148937,1800
polarity,0.913563829787234,1930
polarity,0.8962765957446809,1810
polarity,0.901595744680851,1940
polarity,0.898936170212766,1820
polarity,0.913563829787234,1950
polarity,0.9029255319148937,1830
polarity,0.9095744680851063,1960
polarity,0.9095744680851063,1840
polarity,0.9042553191489362,1970
polarity,0.9002659574468085,1850
polarity,0.8936170212765957,1980
polarity,0.9175531914893617,1860
polarity,0.8922872340425532,1990
polarity,0.9122340425531915,1870
polarity,0.9148936170212766,1880
polarity,0.910904255319149,1890
polarity,0.9162234042553191,1900
polarity,0.913563829787234,1910
