Categorization Test,Model Name,Null Test,Polarity Test,Year
0.6490384615384616,centroid_fda,0.8181818181818182,0.8701923076923077,1800
0.6778846153846154,centroid,0.8109090909090909,0.8894230769230769,1800
0.6826923076923077,centroid,0.8254545454545454,0.8653846153846154,1810
0.6538461538461539,centroid_fda,0.7818181818181819,0.8605769230769231,1810
0.6730769230769231,centroid,0.8254545454545454,0.8701923076923077,1820
0.6586538461538461,centroid_fda,0.8072727272727273,0.8461538461538461,1820
0.6826923076923077,centroid,0.8290909090909091,0.8990384615384616,1830
0.6682692307692307,centroid_fda,0.8145454545454546,0.8653846153846154,1830
0.6971153846153846,centroid,0.8327272727272728,0.8798076923076923,1840
0.7163461538461539,centroid_fda,0.8218181818181818,0.8798076923076923,1840
0.6875,centroid_fda,0.850909090909091,0.8894230769230769,1850
0.6682692307692307,centroid,0.8363636363636363,0.8798076923076923,1850
0.6923076923076923,centroid,0.8436363636363636,0.8894230769230769,1860
0.6346153846153846,centroid_fda,0.8109090909090909,0.908653846153846,1860
0.6971153846153846,centroid,0.8363636363636363,0.8894230769230769,1870
0.7067307692307693,centroid_fda,0.8472727272727273,0.8990384615384616,1870
0.7115384615384616,centroid,0.8327272727272728,0.903846153846154,1880
0.6875,centroid_fda,0.8181818181818182,0.8846153846153846,1880
0.7115384615384616,centroid_fda,0.8581818181818182,0.9230769230769232,1890
0.7307692307692307,centroid,0.8436363636363636,0.9230769230769232,1890
0.7355769230769231,centroid_fda,0.8290909090909091,0.908653846153846,1900
0.7403846153846154,centroid,0.8290909090909091,0.9230769230769232,1900
0.6634615384615384,centroid_fda,0.8072727272727273,0.9134615384615384,1910
0.7307692307692307,centroid,0.8254545454545454,0.8942307692307693,1910
0.7307692307692307,centroid,0.8363636363636363,0.903846153846154,1920
0.7019230769230769,centroid_fda,0.8072727272727273,0.9134615384615384,1920
0.6634615384615384,centroid_fda,0.8327272727272728,0.9182692307692308,1930
0.7019230769230769,centroid,0.8254545454545454,0.8942307692307693,1930
0.6923076923076923,centroid,0.8145454545454546,0.8990384615384616,1940
0.6826923076923077,centroid_fda,0.8072727272727273,0.908653846153846,1940
0.7115384615384616,centroid,0.8218181818181818,0.875,1950
0.6490384615384616,centroid_fda,0.7927272727272727,0.875,1950
0.7163461538461539,centroid,0.8036363636363636,0.8701923076923077,1960
0.7259615384615384,centroid_fda,0.8290909090909091,0.9182692307692308,1960
0.7067307692307693,centroid,0.8109090909090909,0.8846153846153846,1970
0.6682692307692307,centroid_fda,0.8,0.8798076923076923,1970
0.7115384615384616,centroid_fda,0.8327272727272728,0.908653846153846,1980
0.7115384615384616,centroid,0.8109090909090909,0.8894230769230769,1980
0.6682692307692307,centroid_fda,0.8072727272727273,0.8701923076923077,1990
0.7019230769230769,centroid,0.8145454545454546,0.8701923076923077,1990
