year,test,instance,true_class,predicted_class
1800,categorization,award,+authority,+fairness
1800,categorization,position,+authority,+fairness
1800,categorization,class,+authority,+loyalty
1800,categorization,leader,+authority,+loyalty
1800,categorization,mothers,+authority,+sanctity
1800,categorization,tradition,+authority,+sanctity
1800,categorization,hierarchy,+authority,-authority
1800,categorization,commit,+authority,-sanctity
1800,categorization,lead,+authority,-sanctity
1800,categorization,amity,+care,+loyalty
1800,categorization,benefit,+care,+loyalty
1800,categorization,protector,+care,+loyalty
1800,categorization,sympathy,+care,+loyalty
1800,categorization,compassion,+care,+sanctity
1800,categorization,defender,+care,+sanctity
1800,categorization,guard,+care,-loyalty
1800,categorization,compassionate,+care,-sanctity
1800,categorization,constant,+fairness,+authority
1800,categorization,rights,+fairness,+care
1800,categorization,justifiable,+fairness,-fairness
1800,categorization,reciprocal,+fairness,-fairness
1800,categorization,devote,+loyalty,+authority
1800,categorization,ally,+loyalty,+care
1800,categorization,companion,+loyalty,+sanctity
1800,categorization,unison,+loyalty,+sanctity
1800,categorization,church,+sanctity,+authority
1800,categorization,sacred,+sanctity,+authority
1800,categorization,virtuous,+sanctity,+loyalty
1800,categorization,abstain,+sanctity,-authority
1800,categorization,clean,+sanctity,-sanctity
1800,categorization,innocent,+sanctity,-sanctity
1800,categorization,refined,+sanctity,-sanctity
1800,categorization,sanctify,+sanctity,-sanctity
1800,categorization,refuse,-authority,+authority
1800,categorization,alienate,-authority,-care
1800,categorization,obstruct,-authority,-care
1800,categorization,disobedience,-authority,-sanctity
1800,categorization,disobedient,-authority,-sanctity
1800,categorization,riot,-authority,-sanctity
1800,categorization,annihilate,-care,-authority
1800,categorization,crush,-care,-authority
1800,categorization,detrimental,-care,-fairness
1800,categorization,impair,-care,-fairness
1800,categorization,abuse,-care,-sanctity
1800,categorization,brutal,-care,-sanctity
1800,categorization,cruel,-care,-sanctity
1800,categorization,kills,-care,-sanctity
1800,categorization,bias,-fairness,+authority
1800,categorization,exclusive,-fairness,+fairness
1800,categorization,unequal,-fairness,+fairness
1800,categorization,unfair,-fairness,+fairness
1800,categorization,injustice,-fairness,-sanctity
1800,categorization,foreign,-loyalty,+care
1800,categorization,individual,-loyalty,+loyalty
1800,categorization,enemy,-loyalty,-care
1800,categorization,terror,-loyalty,-care
1800,categorization,deceive,-loyalty,-sanctity
1800,categorization,deception,-loyalty,-sanctity
1800,categorization,spy,-loyalty,-sanctity
1800,categorization,blemish,-sanctity,+sanctity
1800,categorization,impious,-sanctity,-authority
1800,categorization,intemperate,-sanctity,-authority
1800,categorization,repulse,-sanctity,-authority
1800,categorization,disease,-sanctity,-care
1800,categorization,sick,-sanctity,-care
1800,categorization,disgust,-sanctity,-fairness
1800,categorization,pervert,-sanctity,-fairness
1800,null_test,balance,moral,neutral
1800,null_test,battle,moral,neutral
1800,null_test,class,moral,neutral
1800,null_test,clean,moral,neutral
1800,null_test,deception,moral,neutral
1800,null_test,defile,moral,neutral
1800,null_test,dirt,moral,neutral
1800,null_test,discrimination,moral,neutral
1800,null_test,disease,moral,neutral
1800,null_test,disproportion,moral,neutral
1800,null_test,equal,moral,neutral
1800,null_test,equivalent,moral,neutral
1800,null_test,exclusive,moral,neutral
1800,null_test,fair,moral,neutral
1800,null_test,fairly,moral,neutral
1800,null_test,filth,moral,neutral
1800,null_test,gross,moral,neutral
1800,null_test,group,moral,neutral
1800,null_test,joint,moral,neutral
1800,null_test,justness,moral,neutral
1800,null_test,lead,moral,neutral
1800,null_test,member,moral,neutral
1800,null_test,permission,moral,neutral
1800,null_test,position,moral,neutral
1800,null_test,pure,moral,neutral
1800,null_test,refined,moral,neutral
1800,null_test,saint,moral,neutral
1800,null_test,shield,moral,neutral
1800,null_test,together,moral,neutral
1800,null_test,tradition,moral,neutral
1800,null_test,antiquated,neutral,moral
1800,null_test,capricious,neutral,moral
1800,null_test,circumstance,neutral,moral
1800,null_test,council,neutral,moral
1800,null_test,credit,neutral,moral
1800,null_test,customary,neutral,moral
1800,null_test,depend,neutral,moral
1800,null_test,franchise,neutral,moral
1800,null_test,indication,neutral,moral
1800,null_test,induce,neutral,moral
1800,null_test,invisible,neutral,moral
1800,null_test,minister,neutral,moral
1800,null_test,multitude,neutral,moral
1800,null_test,ought,neutral,moral
1800,null_test,pagan,neutral,moral
1800,null_test,piety,neutral,moral
1800,null_test,preposterous,neutral,moral
1800,null_test,priesthood,neutral,moral
1800,null_test,principle,neutral,moral
1800,null_test,repose,neutral,moral
1800,null_test,ruler,neutral,moral
1800,null_test,tempt,neutral,moral
1800,polarity,bias,neg,pos
1800,polarity,defiance,neg,pos
1800,polarity,detrimental,neg,pos
1800,polarity,discrimination,neg,pos
1800,polarity,dissent,neg,pos
1800,polarity,exclusion,neg,pos
1800,polarity,exclusive,neg,pos
1800,polarity,foreign,neg,pos
1800,polarity,individual,neg,pos
1800,polarity,preference,neg,pos
1800,polarity,protest,neg,pos
1800,polarity,refuse,neg,pos
1800,polarity,sinner,neg,pos
1800,polarity,sins,neg,pos
1800,polarity,unequal,neg,pos
1800,polarity,abstain,pos,neg
1800,polarity,commit,pos,neg
1800,polarity,fairly,pos,neg
1800,polarity,guard,pos,neg
1800,polarity,innocent,pos,neg
1800,polarity,justifiable,pos,neg
1800,polarity,justifies,pos,neg
1800,polarity,shelter,pos,neg
