,Categorization Test,Model Name,Null Test,Polarity Test,Year
0,0.680952380952381,Centroid Model,0.8,0.8904761904761904,1800
1,0.6844444444444444,Centroid Model,0.8130563798219584,0.8711111111111111,1810
2,0.7016129032258065,Centroid Model,0.8306451612903226,0.8790322580645161,1820
3,0.6417322834645669,Centroid Model,0.8346456692913385,0.8858267716535433,1830
4,0.6781609195402298,Centroid Model,0.8337595907928389,0.89272030651341,1840
5,0.6580882352941176,Centroid Model,0.8284313725490197,0.8860294117647058,1850
6,0.6777777777777778,Centroid Model,0.837037037037037,0.8814814814814815,1860
7,0.6642066420664207,Centroid Model,0.8349753694581281,0.8856088560885609,1870
8,0.6585365853658537,Centroid Model,0.8372093023255814,0.8850174216027874,1880
9,0.697594501718213,Centroid Model,0.8394495412844036,0.8900343642611683,1890
10,0.6858108108108109,Centroid Model,0.831081081081081,0.8851351351351351,1900
11,0.6631944444444444,Centroid Model,0.8217592592592593,0.8923611111111112,1910
12,0.6968641114982579,Centroid Model,0.827906976744186,0.8780487804878049,1920
13,0.6376306620209059,Centroid Model,0.8372093023255814,0.8571428571428571,1930
14,0.6418439716312057,Centroid Model,0.8250591016548463,0.851063829787234,1940
15,0.6554054054054054,Centroid Model,0.831081081081081,0.8614864864864865,1950
16,0.6277602523659306,Centroid Model,0.8252631578947368,0.8643533123028391,1960
17,0.6269592476489029,Centroid Model,0.8117154811715481,0.8589341692789969,1970
18,0.6199376947040498,Centroid Model,0.7733887733887734,0.838006230529595,1980
19,0.5963302752293578,Centroid Model,0.7816326530612245,0.8103975535168195,1990
20,0.5952380952380952,kNN Model,0.8317460317460318,0.8523809523809524,1800
21,0.6311111111111111,kNN Model,0.8071216617210683,0.8977777777777778,1810
22,0.6290322580645161,kNN Model,0.8279569892473119,0.8588709677419355,1820
23,0.594488188976378,kNN Model,0.8267716535433071,0.8976377952755905,1830
24,0.6168582375478927,kNN Model,0.8516624040920716,0.9042145593869731,1840
25,0.6433823529411765,kNN Model,0.8455882352941176,0.8970588235294118,1850
26,0.5925925925925926,kNN Model,0.8419753086419753,0.8777777777777778,1860
27,0.6236162361623616,kNN Model,0.8349753694581281,0.8966789667896679,1870
28,0.6236933797909407,kNN Model,0.8325581395348837,0.8954703832752613,1880
29,0.6838487972508591,kNN Model,0.8279816513761468,0.9003436426116839,1890
30,0.6756756756756757,kNN Model,0.8265765765765766,0.8986486486486487,1900
31,0.6215277777777778,kNN Model,0.8148148148148148,0.8854166666666666,1910
32,0.6306620209059234,kNN Model,0.8302325581395349,0.8989547038327527,1920
33,0.6550522648083623,kNN Model,0.8209302325581396,0.8536585365853658,1930
34,0.6560283687943262,kNN Model,0.8368794326241135,0.8723404255319149,1940
35,0.6317567567567568,kNN Model,0.831081081081081,0.8547297297297297,1950
36,0.6593059936908517,kNN Model,0.8042105263157895,0.8643533123028391,1960
37,0.6175548589341693,kNN Model,0.8242677824267782,0.8463949843260188,1970
38,0.6043613707165109,kNN Model,0.8066528066528067,0.8473520249221184,1980
39,0.6116207951070336,kNN Model,0.7959183673469388,0.8562691131498471,1990
40,0.6761904761904762,Naive Bayes Model,0.8285714285714286,0.919047619047619,1800
41,0.6666666666666666,Naive Bayes Model,0.8338278931750742,0.8711111111111111,1810
42,0.6451612903225806,Naive Bayes Model,0.8575268817204301,0.8830645161290323,1820
43,0.6338582677165354,Naive Bayes Model,0.8530183727034121,0.8818897637795275,1830
44,0.6819923371647509,Naive Bayes Model,0.8618925831202046,0.8812260536398467,1840
45,0.6139705882352942,Naive Bayes Model,0.8382352941176471,0.8860294117647058,1850
46,0.6592592592592592,Naive Bayes Model,0.8469135802469135,0.8703703703703703,1860
47,0.6383763837638377,Naive Bayes Model,0.8399014778325123,0.8745387453874539,1870
48,0.6480836236933798,Naive Bayes Model,0.8627906976744186,0.89198606271777,1880
49,0.6460481099656358,Naive Bayes Model,0.8486238532110092,0.8969072164948454,1890
50,0.6283783783783784,Naive Bayes Model,0.8220720720720721,0.8716216216216216,1900
51,0.6215277777777778,Naive Bayes Model,0.8263888888888888,0.8923611111111112,1910
52,0.6689895470383276,Naive Bayes Model,0.8418604651162791,0.8571428571428571,1920
53,0.627177700348432,Naive Bayes Model,0.8511627906976744,0.8710801393728222,1930
54,0.6134751773049646,Naive Bayes Model,0.8416075650118203,0.8652482269503546,1940
55,0.6182432432432432,Naive Bayes Model,0.8400900900900901,0.8851351351351351,1950
56,0.6151419558359621,Naive Bayes Model,0.848421052631579,0.8675078864353313,1960
57,0.5611285266457681,Naive Bayes Model,0.8158995815899581,0.8683385579937304,1970
58,0.5887850467289719,Naive Bayes Model,0.8024948024948025,0.8411214953271028,1980
59,0.5565749235474006,Naive Bayes Model,0.8163265306122449,0.8287461773700305,1990
60,0.6571428571428571,FDA Model,0.8095238095238095,0.8761904761904762,1800
61,0.6755555555555556,FDA Model,0.7863501483679525,0.8711111111111111,1810
62,0.6451612903225806,FDA Model,0.803763440860215,0.8467741935483871,1820
63,0.6456692913385826,FDA Model,0.8267716535433071,0.889763779527559,1830
64,0.6896551724137931,FDA Model,0.8260869565217391,0.8773946360153256,1840
65,0.6544117647058824,FDA Model,0.8382352941176471,0.8897058823529411,1850
66,0.6592592592592592,FDA Model,0.8222222222222222,0.8925925925925926,1860
67,0.6568265682656826,FDA Model,0.8423645320197044,0.8819188191881919,1870
68,0.6515679442508711,FDA Model,0.858139534883721,0.8710801393728222,1880
69,0.6872852233676976,FDA Model,0.8279816513761468,0.9072164948453608,1890
