Model Name,Categorization Test,Null Test,Polarity Test
Centroid Model,0.659742177480454,0.8227653145756472,0.8722133819398177
Exemplar,0.6597138550936122,0.8557627105791792,0.8776556981497681
FDA Model,0.6444757993296214,0.8239811097529385,0.8714227479586583
Naive Bayes Model,0.6304514639913822,0.8388812950789231,0.875223703945119
kNN Model,0.6298703566421654,0.8259950811595808,0.8778164896121465
