concept,+,-,1,orig_data,pred
abortion,70,100,88,0.4117647058823529,0.49859353690172725
alcohol,101,34,150,0.7481481481481481,0.4917794636774173
contraceptives,163,14,111,0.9209039548022598,0.4946077672231986
divorce,107,40,125,0.7278911564625851,0.506714267449687
extramarital,12,236,42,0.04838709677419355,0.49338909974687606
gambling,66,73,147,0.4748201438848921,0.4819931906766375
homosexuality,89,69,113,0.5632911392405063,0.4946292813201566
premarital sex,101,58,127,0.6352201257861635,0.49863077703932307
