concept,+,-,1,orig_data,pred
abortion,70,100,88,0.34108527131782945,0.491313550235609
alcohol,101,34,150,0.5263157894736842,0.5018944991766389
contraceptives,163,14,111,0.3854166666666667,0.5013002209712906
divorce,107,40,125,0.45955882352941174,0.49550501260301627
extramarital,12,236,42,0.14482758620689656,0.4916325945026861
gambling,66,73,147,0.513986013986014,0.4984817229313785
homosexuality,89,69,113,0.41697416974169743,0.4958623803765206
premarital sex,101,58,127,0.44405594405594406,0.49116014348563697
